_id,OCCUPANCY_DATE,SECTOR,SHELTER_POSTAL_CODE,CAPACITY,SHELTER_PROVINCE,FACILITY_NAME,SHELTER_NAME,OCCUPANCY,ORGANIZATION_NAME,SHELTER_ADDRESS,SHELTER_CITY,PROGRAM_NAME,id,DateRange
1839262,2020-01-01T00:00:00,Women,M5S 2P1,0,ON,COSTI - Radisson Hotel (Single),COSTI Reception Centre,0,COSTI Immigrant Services,100 Lippincott Street,Toronto,COSTI - Radisson Hotel (Single Pregnant Women),,
1839263,2020-01-01T00:00:00,Families,M5S 2P1,560,ON,COSTI - Toronto Plaza Hotel(Fam),COSTI Reception Centre,545,COSTI Immigrant Services,100 Lippincott Street,Toronto,COSTI - Toronto Plaza Hotel (Refugees),,
1839264,2020-01-01T00:00:00,Families,M5S 2P1,888,ON,COSTI Radisson Hotel,COSTI Reception Centre,778,COSTI Immigrant Services,100 Lippincott Street,Toronto,COSTI Radisson Hotel Family Program.,,
1839265,2020-01-01T00:00:00,Co-ed,M5S 2P1,16,ON,COSTI Reception Centre,COSTI Reception Centre,16,COSTI Immigrant Services,100 Lippincott Street,Toronto,COSTI Reception Ctr CITY Program,,
1839266,2020-01-01T00:00:00,Women,M5S 2P1,2,ON,COSTI Toronto Plaza Hotel (Sin),COSTI Reception Centre,2,COSTI Immigrant Services,100 Lippincott Street,Toronto,COSTI - Toronto Plaza Hotel (Single Pregnant Women),,
1839267,2020-01-01T00:00:00,Men,M6H 3Z5,82,ON,Christie Ossington Men's Hostel,Christie Ossington Men's Hostel,82,Christie Ossington Neighbourhood Centre,973 Lansdowne Avenue,Toronto,Christie Ossington Men's Hostel,,
1839268,2020-01-01T00:00:00,Men,M6H 3Z5,42,ON,Christie Ossington South Hostel,Christie Ossington Men's Hostel,42,Christie Ossington Neighbourhood Centre,973 Lansdowne Avenue,Toronto,Christie Ossington Men's Hostel South,,
1839269,2020-01-01T00:00:00,Families,M6G 3B1,76,ON,Christie Refugee Welcome Centre,Christie Refugee Welcome Centre,69,"Christie Refugee Welcome Centre, Inc.",43 Christie Street,Toronto,Christie Refugee Welcome Ctr - Settlement and Support,,
1839270,2020-01-01T00:00:00,Families,M1P 4V8,210,ON,Birkdale Residence,Birkdale Residence,205,City of Toronto,1229 Ellesmere Road,Toronto,Birkdale Residence - Bedded Program,,
1839271,2020-01-01T00:00:00,Families,M1P 4V8,0,ON,Birkdale Residence Motel (Fam),Birkdale Residence,0,City of Toronto,1229 Ellesmere Road,Toronto,Birkdale Residence  - Toronto Plaza Hotel Program (Refugees),,
1839272,2020-01-01T00:00:00,Families,M1P 4V8,152,ON,Birkdale Residence Motel (Fam),Birkdale Residence,113,City of Toronto,1229 Ellesmere Road,Toronto,Birkdale Residence - Toronto Plaza Hotel Program (Non Refugees),,
1839273,2020-01-01T00:00:00,Men,M3M 2X4,28,ON,Downsview Dells 1651 Sheppard W,Downsview Dells,23,City of Toronto,1651 Sheppard Ave West,Toronto,Downsview Dells Bedded Program,,
1839274,2020-01-01T00:00:00,Families,M1E 2M6,252,ON,Family Residence - LI Site,Family Residence,142,City of Toronto,4222 Kingston Road,Toronto,Family Residence - LI Site (Internal Referral Only),,
1839275,2020-01-01T00:00:00,Families,M1E 2M6,48,ON,Family Residence - MA Site,Family Residence,54,City of Toronto,4222 Kingston Road,Toronto,Family Residence - MA Site (Internal Referral Only),,
1839276,2020-01-01T00:00:00,Families,M1E 2M6,110,ON,Family Residence - Main Building,Family Residence,160,City of Toronto,4222 Kingston Road,Toronto,Family Residence - Main,,
1839277,2020-01-01T00:00:00,Families,M1E 2M6,50,ON,Family Residence - Roycroft Site,Family Residence,46,City of Toronto,4222 Kingston Road,Toronto,Family Residence - Roycroft Site,,
1839278,2020-01-01T00:00:00,Co-ed,M5V 3W3,34,ON,Fort York - Staybridge Suites,Fort York Residence,34,City of Toronto,38 Bathrust St,Toronto,Fort York - Staybridge Suites,,
1839279,2020-01-01T00:00:00,Men,M5V 3W3,21,ON,Fort York Res 38 Bathurst St.,Fort York Residence,21,City of Toronto,38 Bathrust St,Toronto,Fort York Extreme Weather Program,,
1839280,2020-01-01T00:00:00,Men,M5V 3W3,74,ON,Fort York Res 38 Bathurst St.,Fort York Residence,74,City of Toronto,38 Bathrust St,Toronto,Fort York Residence Bedded Program,,
1839281,2020-01-01T00:00:00,Men,M5V 3W3,48,ON,Fort York Res 38 Bathurst St.,Fort York Residence,48,City of Toronto,38 Bathrust St,Toronto,Fort York SRO Units Program,,
1839282,2020-01-01T00:00:00,Families,M5A 2R9,90,ON,Robertson House,Robertson House,110,City of Toronto,291 Sherbourne Street,Toronto,Robertson House - MAIN Program,,
1839283,2020-01-01T00:00:00,Men,M1M 1P8,89,ON,3306 Kingston Road,Scarborough Village Residence,88,City of Toronto,3306 Kingston Road,Toronto,Scarborough Village Residence Main Program,,
1839284,2020-01-01T00:00:00,Men,M5A-2N2,65,ON,Junction Place,Seaton House,65,City of Toronto,339 George Street,Toronto,Junction Place,,
1839285,2020-01-01T00:00:00,Men,M5A-2N2,48,ON,Seaton House - 339 George Street,Seaton House,46,City of Toronto,339 George Street,Toronto,Seaton House - Annex Harm Reduction & Managed Alcohol Program,,
1839286,2020-01-01T00:00:00,Men,M5A-2N2,166,ON,Seaton House - 339 George Street,Seaton House,164,City of Toronto,339 George Street,Toronto,Seaton House - Hostel Program,,
1839287,2020-01-01T00:00:00,Men,M5A-2N2,42,ON,Seaton House - 339 George Street,Seaton House,40,City of Toronto,339 George Street,Toronto,Seaton House - Hostels Extreme Weather Program,,
1839288,2020-01-01T00:00:00,Men,M5A-2N2,22,ON,Seaton House - 339 George Street,Seaton House,21,City of Toronto,339 George Street,Toronto,Seaton House - Infirmary Bedded Program,,
1839289,2020-01-01T00:00:00,Men,M5A-2N2,20,ON,Seaton House - 339 George Street,Seaton House,20,City of Toronto,339 George Street,Toronto,Seaton House - Long Term Program,,
1839290,2020-01-01T00:00:00,Men,M5A-2N2,50,ON,Seaton House - 339 George Street,Seaton House,50,City of Toronto,339 George Street,Toronto,Seaton House - O'Neill Harm Reduction Program,,
1839291,2020-01-01T00:00:00,Men,M5A-2N2,100,ON,Seaton House - 339 George Street,Seaton House,100,City of Toronto,339 George Street,Toronto,Seaton House - Winter Program,,
1839292,2020-01-01T00:00:00,Co-ed,M5V 1X1,40,ON,129 Peter St,Streets To Homes,33,City of Toronto,129 Peter Street,Toronto,Streets to Homes Bedded Program,,
1839293,2020-01-01T00:00:00,Men,M5V 1X1,2,ON,COTA,Streets To Homes,1,City of Toronto,129 Peter Street,Toronto,Bailey House,,
1839294,2020-01-01T00:00:00,Co-ed,M5T 1H9,50,ON,Womens Res-Alexandra Hotel,Women's Residence,50,City of Toronto,674 Dundas St. W,Toronto,Women's Res-Alexandra Hotel,,
1839295,2020-01-01T00:00:00,Women,M5T 1H9,10,ON,Womens' Res - 63 Bellwoods Ave.,Women's Residence,10,City of Toronto,674 Dundas St. W,Toronto,Womens' Residence - Bellwoods House,,
1839296,2020-01-01T00:00:00,Women,M5T 1H9,13,ON,Womens' Res - 674 Dundas St. W,Women's Residence,13,City of Toronto,674 Dundas St. W,Toronto,Women's Residence Extreme Weather Program,,
1839297,2020-01-01T00:00:00,Women,M5T 1H9,108,ON,Womens' Res - 674 Dundas St. W,Women's Residence,106,City of Toronto,674 Dundas St. W,Toronto,Womens' Residence - Main Program,,
1839298,2020-01-01T00:00:00,Men,M6C 1C2,56,ON,Cornerstone 616 Vaughan Rd.,Cornerstone Place,56,Cornerstone Place,616 Vaughan Road Toronto,Toronto,Cornerstone Place,,
1839299,2020-01-01T00:00:00,Youth,M5B 2P3,2,ON,Covenant House-20 Gerrard St. E.,Covenant House,1,Covenant House Toronto,20 Gerrard Street East,Toronto,Covenant House -  Transitional Safe Beds for women,,
1839300,2020-01-01T00:00:00,Youth,M5B 2P3,94,ON,Covenant House-20 Gerrard St. E.,Covenant House,93,Covenant House Toronto,20 Gerrard Street East,Toronto,Covenant House Residence,,
1839301,2020-01-01T00:00:00,Youth,M5B 2P3,28,ON,Covenant House-21 McGill Street,Covenant House,26,Covenant House Toronto,20 Gerrard Street East,Toronto,Covenant House-Rights of Passage,,
1839302,2020-01-01T00:00:00,Co-ed,M4C 1L7,9,ON,Dixon Hall - Heyworth House,Dixon Hall - Heyworth House,9,Dixon Hall,2714 Danforth Avenue,Toronto,Dixon Hall - Extreme Weather Program,,
1839303,2020-01-01T00:00:00,Co-ed,M4C 1L7,88,ON,Dixon Hall - Heyworth House,Dixon Hall - Heyworth House,88,Dixon Hall,2714 Danforth Avenue,Toronto,Dixon Hall - Heyworth House,,
1839304,2020-01-01T00:00:00,Men,M5A 2N2,51,ON,Dixon Hall-School House,Dixon Hall - Schoolhouse,51,Dixon Hall,349 George Street,Toronto,Dixon Hall - Schoolhouse,,
1839305,2020-01-01T00:00:00,Youth,M5V 3G9,50,ON,Eva's Phoenix,Eva's Phoenix,49,Eva's Initiatives,60 Brant Street,Toronto,Eva's Phoenix,,
1839306,2020-01-01T00:00:00,Youth,M3B 2T5,40,ON,Eva's Place,Eva's Place,40,Eva's Initiatives,360 Lesmill Road,North York,Eva's Place,,
1839307,2020-01-01T00:00:00,Youth,M2N OE3,32,ON,Eva's Satellite,Eva's Satellite,32,Eva's Initiatives,25 Canterbury Place,North York,Eva's Satellite,,
1839308,2020-01-01T00:00:00,Youth,M2N OE3,1,ON,Eva's Satellite,Eva's Satellite,1,Eva's Initiatives,25 Canterbury Place,North York,Eva's Satellite Extreme Weather Program,,
1839309,2020-01-01T00:00:00,Co-ed,M4X 1K9,5,ON,Fife House - Denison Program,Fife House Transitional Program,5,Fife House Foundation,"490 Sherbourne Street, 2nd floor",Toronto,Fife House Denison Program,,
1839310,2020-01-01T00:00:00,Co-ed,M4X 1K9,11,ON,Fife-Sherbourne Transitional Pgm,Fife House Transitional Program,9,Fife House Foundation,"490 Sherbourne Street, 2nd floor",Toronto,Fife-Sherbourne Transitional Program,,
1839311,2020-01-01T00:00:00,Women,M4Y 2H6,26,ON,Fred Victor 512 Jarvis St.,FV Women's Transition to Housing,25,Fred Victor Centre,512 Jarvis St.,Toronto,Fred Victor Transition to Housing:  Bedded Program,,
1839312,2020-01-01T00:00:00,Women,M4Y 2H6,37,ON,Fred Victor T2H 386 Dundas St. E,FV Women's Transition to Housing,36,Fred Victor Centre,512 Jarvis St.,Toronto,Fred Victor T2H Bedded Program,,
1839313,2020-01-01T00:00:00,Women,M5C 1M3,4,ON,FV Women's Hostel 86 Lombard,Fred Victor Women's Hostel,4,Fred Victor Centre,86 Lombard St.,Toronto,Fred Victor Women's Extreme Weather Program,,
1839314,2020-01-01T00:00:00,Women,M5C 1M3,40,ON,FV Women's Hostel 86 Lombard,Fred Victor Women's Hostel,40,Fred Victor Centre,86 Lombard St.,Toronto,Fred Victor Women's Hostel Program,,
1839315,2020-01-01T00:00:00,Co-ed,M6A 2W9,10,ON,Fred Victor BUS - 1161 Caledonia,"Fred Victor, BUS",9,Fred Victor Centre,1161 Caledonia Road,Toronto,Fred Victor - Bethlehem United Extreme Weather Program,,
1839316,2020-01-01T00:00:00,Co-ed,M6A 2W9,60,ON,Fred Victor BUS - 1161 Caledonia,"Fred Victor, BUS",60,Fred Victor Centre,1161 Caledonia Road,Toronto,Fred Victor Bethlehem United Program,,
1839317,2020-01-01T00:00:00,Men,M5A 1T3,5,ON,Barrett House,Good Shepherd Centre,5,Good Shepherd Ministries,412 Queen Street East,Toronto,Barrett House,,
1839318,2020-01-01T00:00:00,Men,M5A 1T3,70,ON,Good Shepherd Centre,Good Shepherd Centre,70,Good Shepherd Ministries,412 Queen Street East,Toronto,Good Shepherd - Emergency/Resettlement,,
1839319,2020-01-01T00:00:00,Men,M5A 1T3,25,ON,Good Shepherd Centre,Good Shepherd Centre,22,Good Shepherd Ministries,412 Queen Street East,Toronto,Good Shepherd Centre - D.A.R.E.,,
1839320,2020-01-01T00:00:00,Women,M1K 2B5,90,ON,HFS - 702 Kennedy Shelter,HFS - Kennedy Shelter,86,Homes First Society,702 Kennedy Rd,Toronto,Homes First Society- Kennedy Shelter Women's Program,,
1839321,2020-01-01T00:00:00,Women,M6H 1P2,30,ON,HFS - Savard's Womens' Shelter,HFS - Savard's Womens' Shelter,30,Homes First Society,1322 Bloor Street West,Toronto,Homes First Society - Savard's Womens' Shelter,,
1839322,2020-01-01T00:00:00,Women,M1K 1M2,63,ON,HFS - 545 Lakeshore Blvd W.Women,HFS - Scarborough Shelter,58,Homes First Society,3576 St. Clair Avenue East,Scarborough,545 Lakeshore Blvd. W. Women,,
1839323,2020-01-01T00:00:00,Men,M1K 1M2,75,ON,HFS - 545 Lakeshore Blvd. W. Men,HFS - Scarborough Shelter,74,Homes First Society,3576 St. Clair Avenue East,Scarborough,545 Lakeshore Blvd W. Men Winter Program Lower Level,,
1839324,2020-01-01T00:00:00,Men,M1K 1M2,43,ON,HFS - 545 Lakeshore Blvd. W. Men,HFS - Scarborough Shelter,40,Homes First Society,3576 St. Clair Avenue East,Scarborough,545 Lakeshore Blvd. W. Men,,
1839325,2020-01-01T00:00:00,Men,M1K 1M2,80,ON,HFS - Refugee Response Centre -,HFS - Scarborough Shelter,80,Homes First Society,3576 St. Clair Avenue East,Scarborough,Willowdale Welcome Centre - Men,,
1839326,2020-01-01T00:00:00,Women,M1K 1M2,120,ON,HFS - Refugee Response Centre -,HFS - Scarborough Shelter,118,Homes First Society,3576 St. Clair Avenue East,Scarborough,Willowdale Welcome Centre - Women,,
1839327,2020-01-01T00:00:00,Co-ed,M1K 1M2,90,ON,HFS - Scarborough Shelter,HFS - Scarborough Shelter,90,Homes First Society,3576 St. Clair Avenue East,Scarborough,Homes First Society - Scarborough Shelter,,
1839328,2020-01-01T00:00:00,Co-ed,M1K 1M2,106,ON,HFS-545 Lakeshore Blvd W.Couple,HFS - Scarborough Shelter,100,Homes First Society,3576 St. Clair Avenue East,Scarborough,545 Lakeshore Blvd. W.Couple,,
1839329,2020-01-01T00:00:00,Co-ed,M5V 1G8,5,ON,HFS - Strachan House,HFS - Strachan House,4,Homes First Society,805A Wellington Street W,Toronto,Homes First Society - Flex Program,,
1839330,2020-01-01T00:00:00,Co-ed,M5V 1G8,83,ON,HFS - Strachan House,HFS - Strachan House,81,Homes First Society,805A Wellington Street W,Toronto,Homes First Society - Strachan House,,
1839331,2020-01-01T00:00:00,Youth,M6E 4X3,45,ON,Horizons for Youth,Horizons for Youth,45,Horizon for Youth,422 Gilbert Avenue,Toronto,Horizons for Youth,,
1839332,2020-01-01T00:00:00,Youth,M4K 3W5,40,ON,Kennedy House Youth Shelter,Kennedy House Youth Shelter,40,Kennedy House Youth Services,1076 Pape Avenue,Toronto,Kennedy House Youth Shelter:  Bedded Program,,
1839333,2020-01-01T00:00:00,Men,M6G 2N1,71,ON,Na-Me-Res 14 Vaughan Road,Na-Me-Res,71,Na-Me-Res (Native Men's Residence),14 Vaughan Road,Toronto,Na-Me-Res (Native Men's Residence),,
1839334,2020-01-01T00:00:00,Men,M6G 2N1,20,ON,Sagatay 26 Vaughan Road,Na-Me-Res,16,Na-Me-Res (Native Men's Residence),14 Vaughan Road,Toronto,Sagatay,,
1839335,2020-01-01T00:00:00,Youth,M5S 2P9,12,ON,Eagle's Nest Transition House,Eagles Nest Transition House,12,Native Child & Family Services Toronto,558 Bathurst Street,Toronto,Native Child & Family Services Toronto,,
1839336,2020-01-01T00:00:00,Women,M4M 2V8,22,ON,SVDP - Amelie House,SVDP - Amelie House,22,Society of St.Vincent De Paul,126 Pape Avenue,Toronto,St.Vincent De Paul - Amelie House - Women's Shelter,,
1839337,2020-01-01T00:00:00,Women,M8Y 1A3,40,ON,SVDP - Elisa House,SVDP - Elisa House,39,Society of St.Vincent De Paul,60 Newcastle Street,Toronto,St.Vincent De Paul - Elisa House,,
1839338,2020-01-01T00:00:00,Women,M5B 1G6,6,ON,SVDP - Mary's Home,SVDP - Mary's Home,6,Society of St.Vincent De Paul,70 Gerrard St. E.,Toronto,SVDP - Mary's Home Extreme Weather Program,,
1839339,2020-01-01T00:00:00,Women,M5B 1G6,38,ON,SVDP - Mary's Home,SVDP - Mary's Home,38,Society of St.Vincent De Paul,70 Gerrard St. E.,Toronto,St.Vincent De Paul - Mary's Home - Emergency Shelter,,
1839340,2020-01-01T00:00:00,Women,M2M 3S3,30,ON,SVDP - St. Clare's Residence,SVDP - St. Clare's Residence,30,Society of St.Vincent De Paul,3410 Bayview Avenue,Toronto,St.Vincent De Paul - St. Clare's Residence - Transitional Housing,,
1839341,2020-01-01T00:00:00,Men,M4W 1J1,5,ON,St.Simon's 525 Bloor Street East,St. Simon's Shelter,5,St. Simon's Shelter Inc.,525 Bloor Street East,Toronto,St. Simon's Extreme Weather Program,,
1839342,2020-01-01T00:00:00,Men,M4W 1J1,61,ON,St.Simon's 525 Bloor Street East,St. Simon's Shelter,61,St. Simon's Shelter Inc.,525 Bloor Street East,Toronto,St. Simon's Shelter,,
1839343,2020-01-01T00:00:00,Women,M5A 2N9,46,ON,Street Haven - 87 Pembroke St,Street Haven,46,Street Haven At The Crossroads,87 Pembroke St,Toronto,Street Haven - Emergency Hostel,,
1839344,2020-01-01T00:00:00,Women,M5A 2N9,4,ON,Street Haven - 87 Pembroke St,Street Haven,4,Street Haven At The Crossroads,87 Pembroke St,Toronto,Street Haven: Extreme Weather Program,,
1839345,2020-01-01T00:00:00,Families,M5A 2V2,76,ON,Sojourn House,Sojourn House,84,The MUC Shelter Corporation,101 Ontario Street,Toronto,Sojourn House Transitional Housing Program,,
1839346,2020-01-01T00:00:00,Co-ed,M5A 2V2,94,ON,Sojourn House(Singles),Sojourn House,94,The MUC Shelter Corporation,101 Ontario Street,Toronto,Sojourn House Bedded Program,,
1839347,2020-01-01T00:00:00,Families,M5A 2V2,300,ON,Sojourn House-Grange (Family),Sojourn House,245,The MUC Shelter Corporation,101 Ontario Street,Toronto,Sojourn House - Refugee Family Hotel Program-Grange,,
1839348,2020-01-01T00:00:00,Women,M6P 1Y5,9,ON,S.A. Evangeline Residence,Salvation Army - Evangeline Res,9,The Salvation Army of Canada,2808 Dundas St W,Toronto,S.A. Evangeline - Emergency Weather,,
1839349,2020-01-01T00:00:00,Women,M6P 1Y5,94,ON,S.A. Evangeline Residence,Salvation Army - Evangeline Res,94,The Salvation Army of Canada,2808 Dundas St W,Toronto,S.A. Evangeline Residence - Women's Ministry,,
1839350,2020-01-01T00:00:00,Women,M6J1E6,4,ON,Florence Booth - 723 Queen St. W,Salvation Army - Florence Booth,4,The Salvation Army of Canada,723 Queen Street West,Toronto,Salvation Army - Florence Booth Extreme Weather Program,,
1839351,2020-01-01T00:00:00,Women,M6J1E6,60,ON,Florence Booth - 723 Queen St. W,Salvation Army - Florence Booth,60,The Salvation Army of Canada,723 Queen Street West,Toronto,Salvation Army - Florence Booth Womens Ministry,,
1839352,2020-01-01T00:00:00,Men,M5C 2H4,12,ON,S.A. Gateway - 107 Jarvis Street,Salvation Army - Gateway,12,The Salvation Army of Canada,107 Jarvis Street,Toronto,Salvation Army - Gateway - Extreme Weather Beds,,
1839353,2020-01-01T00:00:00,Men,M5C 2H4,108,ON,S.A. Gateway - 107 Jarvis Street,Salvation Army - Gateway,108,The Salvation Army of Canada,107 Jarvis Street,Toronto,Salvation Army - Gateway - Men's Hostel,,
1839354,2020-01-01T00:00:00,Men,M5A 2R5,45,ON,S.A. Maxwell Meighen Centre,Salvation Army - Maxwell Meighen,44,The Salvation Army of Canada,Sherbourne Street,Toronto,S.A. Maxwell Meighen Transition to Housing,,
1839355,2020-01-01T00:00:00,Men,M5A 2R5,18,ON,S.A. Maxwell Meighen Centre,Salvation Army - Maxwell Meighen,18,The Salvation Army of Canada,Sherbourne Street,Toronto,Salvation Army - Maxwell Meighen - Extreme Weather Program,,
1839356,2020-01-01T00:00:00,Men,M5A 2R5,290,ON,S.A. Maxwell Meighen Centre,Salvation Army - Maxwell Meighen,290,The Salvation Army of Canada,Sherbourne Street,Toronto,Salvation Army - Maxwell Meighen Emergency Bed Program,,
1839357,2020-01-01T00:00:00,Men,M5A 2R5,10,ON,S.A. Maxwell Meighen Centre,Salvation Army - Maxwell Meighen,8,The Salvation Army of Canada,Sherbourne Street,Toronto,Salvation Army - Maxwell Meighen Primary Support Unit,,
1839358,2020-01-01T00:00:00,Men,M4M 3C3,60,ON,S.A. New Hope Leslieville,Salvation Army - New Hope Leslie,60,The Salvation Army of Canada,29 Leslie Street,Toronto,Salvation Army - New Hope - Men's Hostel,,
1839359,2020-01-01T00:00:00,Women,M9V 2X6,17,ON,2671 Islington Avenue-Sr.Female,Salvation Army Islington Seniors,17,The Salvation Army of Canada,2671 Islington Avenue,Toronto,Salvation Army - Islington Seniors' Shelter Women's Program,,
1839360,2020-01-01T00:00:00,Men,M9V 2X6,28,ON,2671 Islington Avenue-Sr.Male,Salvation Army Islington Seniors,28,The Salvation Army of Canada,2671 Islington Avenue,Toronto,Salvation Army - Islington Seniors' Shelter Men's Program,,
1839361,2020-01-01T00:00:00,Men,M5S 2H1,19,ON,Scott Mission - 502 Spadina Ave,Scott Mission Men's Ministry,19,The Scott Mission Inc.,502 Spadina Ave.,Toronto,Scott Mission - Extreme Weather Program,,
1839362,2020-01-01T00:00:00,Men,M5S 2H1,53,ON,Scott Mission - 502 Spadina Ave,Scott Mission Men's Ministry,53,The Scott Mission Inc.,502 Spadina Ave.,Toronto,Scott Mission - Men's Ministry Overnight Program,,
1839363,2020-01-01T00:00:00,Co-ed,M5R 2T9,13,ON,TCH 191 Spadina Rd(Singles),Toronto Community Hostel,12,Toronto Community Hostel,191 Spadina Road,Toronto,TCH-Singles,,
1839364,2020-01-01T00:00:00,Families,M5R 2T9,14,ON,Tor. Comm. Hostel 191 Spadina Rd,Toronto Community Hostel,10,Toronto Community Hostel,191 Spadina Road,Toronto,TCH (program),,
1839365,2020-01-01T00:00:00,Youth,M4Y 2X9,35,ON,Turning Point Youth Services,Turning Point Youth Services,34,Turning Point Youth Services,95 Wellesley St. E.,Toronto,Turning Point Youth Services Shelter,,
1839366,2020-01-01T00:00:00,Families,M4M 1J2,106,ON,Red Door - 1430 Gerrad St E,Red Door Queen Street,109,WoodGreen Red Door Family Shelter,875 Queen St E,Toronto,Red Door - Family Shelter,,
1839367,2020-01-01T00:00:00,Youth,M5T 2V9,40,ON,Yhouse - Vanauley,YMCA House,40,YMCA of Greater Toronto,7 Vanauley Street,Toronto,YMCA House-Vanauley,,
1839368,2020-01-01T00:00:00,Youth,M5R 2W7,25,ON,YMCA Sprott House Walmer Rd,YMCA Sprott House,22,YMCA of Greater Toronto,21 Walmer Rd.,Toronto,YMCA Sprott House Walmer rd.,,
1839369,2020-01-01T00:00:00,Women,M4T 1C1,31,ON,YWCA-80 Woodlawn Av. E.-Women,YWCA - First Stop Woodlawn,31,YWCA Toronto,80 Woodlawn Ave. East,Toronto,YWCA - Adult Women Shelter,,
1839370,2020-01-01T00:00:00,Youth,M4T 1C1,31,ON,YWCA-80 Woodlawn Ave. E.-Youth,YWCA - First Stop Woodlawn,31,YWCA Toronto,80 Woodlawn Ave. East,Toronto,YWCA - Youth Shelter,,
1839371,2020-01-01T00:00:00,Women,M5R 1K6,35,ON,YWCA - 348 Davenport Road Women,YWCA-348 Davenport,35,YWCA Toronto,348 Davenport Rd.,Toronto,YWCA Davenport - Adult,,
1839372,2020-01-01T00:00:00,Youth,M5R 1K6,15,ON,YWCA - 348 Davenport Road Youth,YWCA-348 Davenport,15,YWCA Toronto,348 Davenport Rd.,Toronto,YWCA Davenport - Youth,,
1839373,2020-01-01T00:00:00,Youth,M9V 1P9,33,ON,Youth w/o Shelter Emerg Shelter,Youth Without Shelter,33,Youth Without Shelter,6 Warrendale Court,Etobicoke,Youth without Shelter Emergency Shelter Program,,
1839374,2020-01-01T00:00:00,Youth,M9V 1P9,20,ON,Youth w/o Shltr Transitional Res,Youth Without Shelter,20,Youth Without Shelter,6 Warrendale Court,Etobicoke,Youth without Shelter Stay In School Program,,
1839375,2020-01-01T00:00:00,Co-ed,M1L 4A1,10,ON,YouthLink - 747 Warden Ave,YouthLink Shelter,10,YouthLink,747 Warden Ave,Toronto,YouthLink Emergency Program,,
1839376,2020-01-01T00:00:00,Co-ed,M1L 4A1,41,ON,YouthLink - 747 Warden Ave,YouthLink Shelter,40,YouthLink,747 Warden Ave,Toronto,YouthLink Transitional Program,,
1839377,2020-01-02T00:00:00,Women,M5S 2P1,0,ON,COSTI - Radisson Hotel (Single),COSTI Reception Centre,0,COSTI Immigrant Services,100 Lippincott Street,Toronto,COSTI - Radisson Hotel (Single Pregnant Women),,
1839378,2020-01-02T00:00:00,Families,M5S 2P1,560,ON,COSTI - Toronto Plaza Hotel(Fam),COSTI Reception Centre,547,COSTI Immigrant Services,100 Lippincott Street,Toronto,COSTI - Toronto Plaza Hotel (Refugees),,
1839379,2020-01-02T00:00:00,Families,M5S 2P1,888,ON,COSTI Radisson Hotel,COSTI Reception Centre,768,COSTI Immigrant Services,100 Lippincott Street,Toronto,COSTI Radisson Hotel Family Program.,,
1839380,2020-01-02T00:00:00,Co-ed,M5S 2P1,16,ON,COSTI Reception Centre,COSTI Reception Centre,16,COSTI Immigrant Services,100 Lippincott Street,Toronto,COSTI Reception Ctr CITY Program,,
1839381,2020-01-02T00:00:00,Women,M5S 2P1,2,ON,COSTI Toronto Plaza Hotel (Sin),COSTI Reception Centre,2,COSTI Immigrant Services,100 Lippincott Street,Toronto,COSTI - Toronto Plaza Hotel (Single Pregnant Women),,
1839382,2020-01-02T00:00:00,Men,M6H 3Z5,82,ON,Christie Ossington Men's Hostel,Christie Ossington Men's Hostel,81,Christie Ossington Neighbourhood Centre,973 Lansdowne Avenue,Toronto,Christie Ossington Men's Hostel,,
1839383,2020-01-02T00:00:00,Men,M6H 3Z5,42,ON,Christie Ossington South Hostel,Christie Ossington Men's Hostel,40,Christie Ossington Neighbourhood Centre,973 Lansdowne Avenue,Toronto,Christie Ossington Men's Hostel South,,
1839384,2020-01-02T00:00:00,Families,M6G 3B1,76,ON,Christie Refugee Welcome Centre,Christie Refugee Welcome Centre,69,"Christie Refugee Welcome Centre, Inc.",43 Christie Street,Toronto,Christie Refugee Welcome Ctr - Settlement and Support,,
1839385,2020-01-02T00:00:00,Families,M1P 4V8,210,ON,Birkdale Residence,Birkdale Residence,205,City of Toronto,1229 Ellesmere Road,Toronto,Birkdale Residence - Bedded Program,,
1839386,2020-01-02T00:00:00,Families,M1P 4V8,0,ON,Birkdale Residence Motel (Fam),Birkdale Residence,0,City of Toronto,1229 Ellesmere Road,Toronto,Birkdale Residence  - Toronto Plaza Hotel Program (Refugees),,
1839387,2020-01-02T00:00:00,Families,M1P 4V8,152,ON,Birkdale Residence Motel (Fam),Birkdale Residence,113,City of Toronto,1229 Ellesmere Road,Toronto,Birkdale Residence - Toronto Plaza Hotel Program (Non Refugees),,
1839388,2020-01-02T00:00:00,Men,M3M 2X4,28,ON,Downsview Dells 1651 Sheppard W,Downsview Dells,23,City of Toronto,1651 Sheppard Ave West,Toronto,Downsview Dells Bedded Program,,
1839389,2020-01-02T00:00:00,Families,M1E 2M6,252,ON,Family Residence - LI Site,Family Residence,153,City of Toronto,4222 Kingston Road,Toronto,Family Residence - LI Site (Internal Referral Only),,
1839390,2020-01-02T00:00:00,Families,M1E 2M6,48,ON,Family Residence - MA Site,Family Residence,54,City of Toronto,4222 Kingston Road,Toronto,Family Residence - MA Site (Internal Referral Only),,
1839391,2020-01-02T00:00:00,Families,M1E 2M6,110,ON,Family Residence - Main Building,Family Residence,159,City of Toronto,4222 Kingston Road,Toronto,Family Residence - Main,,
